Priority,URL,Type,Locale
0.8,https://rateships.com/en/shipping/turkey-to-united-kingdom,corridor,en
0.8,https://rateships.com/en/shipping/turkey-to-united-states,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/united-kingdom-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/united-states-to-turkey,corridor,en
0.7,https://rateships.com/ar/shipping/australia-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/brazil-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/canada-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/china-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/france-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/germany-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/india-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/indonesia-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/italy-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/japan-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/mexico-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/netherlands-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/russia-to-saudi-arabia,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-australia,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-brazil,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-canada,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-china,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-france,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-germany,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-india,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-indonesia,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-italy,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-japan,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-mexico,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-netherlands,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-russia,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-south-korea,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-spain,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-switzerland,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-turkey,corridor,ar
0.7,https://rateships.com/ar/shipping/saudi-arabia-to-united-kingdom,corridor,ar
